epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,472.509,0.75805,0.59422,0.84821,0.98095,0.98922,0.98644,0.7869,0.75782,0.43295,0.85695,0.000116483,0.000116483,0.000116483
83,539.506,0.76702,0.58285,0.86631,0.97834,0.98527,0.98573,0.79099,0.75199,0.42998,0.85644,0.000110662,0.000110662,0.000110662
84,483.449,0.77356,0.59581,0.85944,0.97717,0.98625,0.985,0.79541,0.73306,0.42574,0.852,0.00010484,0.00010484,0.00010484
85,488.913,0.75853,0.56491,0.85603,0.97705,0.98531,0.98577,0.79328,0.73624,0.42363,0.85376,9.90192e-05,9.90192e-05,9.90192e-05
86,494.275,0.76458,0.58371,0.8546,0.97718,0.98747,0.98338,0.79875,0.72064,0.42589,0.84942,9.3198e-05,9.3198e-05,9.3198e-05
87,500.421,0.76595,0.60319,0.85277,0.97495,0.98365,0.98208,0.79615,0.72999,0.428,0.85105,8.73768e-05,8.73768e-05,8.73768e-05
88,505.753,0.75468,0.56842,0.85563,0.97767,0.97895,0.98179,0.7924,0.74349,0.42734,0.85424,8.15556e-05,8.15556e-05,8.15556e-05
89,511.163,0.73021,0.58883,0.84561,0.97217,0.98265,0.98168,0.80024,0.72515,0.42235,0.84999,7.57344e-05,7.57344e-05,7.57344e-05
90,516.902,0.74542,0.58135,0.84514,0.97172,0.98594,0.98179,0.78813,0.74258,0.4286,0.85468,6.99132e-05,6.99132e-05,6.99132e-05
91,524.456,0.71809,0.57928,0.85112,0.97711,0.98316,0.98372,0.79448,0.73069,0.43523,0.8534,6.4092e-05,6.4092e-05,6.4092e-05
92,531.771,0.73275,0.55674,0.85404,0.9739,0.9801,0.9812,0.79673,0.71574,0.43121,0.85067,5.82708e-05,5.82708e-05,5.82708e-05
93,537.612,0.70538,0.57466,0.84303,0.97169,0.98324,0.98083,0.79089,0.73609,0.43275,0.85459,5.24496e-05,5.24496e-05,5.24496e-05
94,544.341,0.72022,0.57561,0.84236,0.9715,0.98088,0.97893,0.79039,0.73595,0.43248,0.85488,4.66284e-05,4.66284e-05,4.66284e-05
95,550.009,0.69238,0.54944,0.84929,0.97088,0.9837,0.9853,0.7982,0.72406,0.42416,0.85143,4.08072e-05,4.08072e-05,4.08072e-05
96,555.485,0.70679,0.56836,0.83656,0.98029,0.9878,0.98635,0.79581,0.73434,0.42257,0.8533,3.4986e-05,3.4986e-05,3.4986e-05
97,561.106,0.69725,0.52057,0.85066,0.98558,0.98448,0.98664,0.79522,0.7362,0.42305,0.85341,2.91648e-05,2.91648e-05,2.91648e-05
98,566.63,0.68096,0.56277,0.83616,0.98605,0.9851,0.98635,0.79829,0.72918,0.42115,0.85168,2.33436e-05,2.33436e-05,2.33436e-05
99,572.414,0.71939,0.56488,0.84539,0.98473,0.98996,0.98626,0.7976,0.72534,0.41971,0.85032,1.75224e-05,1.75224e-05,1.75224e-05
100,577.482,0.69283,0.55632,0.84833,0.98599,0.98976,0.98613,0.79714,0.72841,0.41996,0.85104,1.17012e-05,1.17012e-05,1.17012e-05
